state,actions,reward,next_state,done
2846,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2847,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2848,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2849,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2850,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2851,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2852,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2853,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2854,[[1 0 0 1 0 0 0 0 1 0 0 0]],0,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2855,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2856,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2857,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2858,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2859,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2860,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2861,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2862,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2863,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2864,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2865,[[1 0 0 1 0 0 0 0 0 0 0 1]],0,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2866,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2867,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2868,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2869,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2870,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2871,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2872,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2873,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2874,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2875,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2876,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2877,[[1 0 0 1 0 0 0 0 0 1 0 0]],0,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2878,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2879,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2880,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2881,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2882,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
